id	text	en	loc
10000	Česky	English	
10001	Překlad Vít Čondák	Default	
11000	Myslím, že mám hotovo.	I think I'm done with the assignment.	DefineActors.dinky
11001	Chceš se podívat, co jsem zatím nafotila?	Want to take a look at my work so far?	DefineActors.dinky
11002	Šerif se s nebezpečím setkal naposledy tehdy, když se díval do zrcadla.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Fotka samotného šerifa nebude Natalii stačit.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Fotka samotného koronera nebude Natalii stačit.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Myslím, že Natalie by chtěla někoho slavnějšího. Jeho považují za celebritu jen snobští kritici.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Promiň, nestíhám. Jsem ve skluzu s tříděním.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Nemůžu přestat, je tu spousta objednávek na PillowBears™!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	Pošťák nemá nikdy hotovo, nemůžu přestat.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Musím třídit ty objednávky na PillowBears™, nemůžu přestat.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	Teď se ti nemůžu věnovat.	Can't help you now.	DefineActors.dinky
11011	Na tvůj dopis teď nemám čas. Prostě ho hoď do schránky.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Na tvůj dopis teď nemám čas, ale nezapomeň na známky!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Mám teď moc práce a známky nebereme zpátky.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	Moje sestra si myslí, že je celebrita, ale nikdo jiný si to nemyslí.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	Nepřijímáme vklady ve formě mincí.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	Nechci ani nepotřebuju tvůj ubohý pětník.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Říkala jsem ti, že máš mluvit se mnou!	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	Jestli chceš mluvit s ním, musíš mluvit se mnou.	You want to talk to him, you talk to me!	DefineActors.dinky
11019	Za pětník si žádnou pořádnou hračku nekoupím.	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	Tohle nechci.	I don't want that!	DefineActors.dinky
11021	Chci hračku!	I want a toy!	DefineActors.dinky
11022	Tohle děti nechtějí.	Kids don't want that!	DefineActors.dinky
11023	Díky!	Thanks!	DefineActors.dinky
11024	Pozor, ať si nezkazíš zuby!	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	Ne tak rychle, teto Delores.	Not so fast Aunt Delores.	DefineActors.dinky
11026	Pokud mě chceš vyfotit, musíš mi dát nějaký dárek.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	Úsměv!	Smile!	DefineActors.dinky
11028	Delores	Delores	DefineActors.dinky
11029	Willieho	Willie	DefineActors.dinky
11030	Natalii	Natalie	DefineActors.dinky
11031	Ransoma	Ransome	DefineActors.dinky
11032	Leonarda	Leonard	DefineActors.dinky
11033	šerifa	Sheriff	DefineActors.dinky
11034	koronera	Coroner	DefineActors.dinky
11035	Dave	Dave	DefineActors.dinky
11036	Dave	Dave	DefineActors.dinky
11037	Sandy	Sandy	DefineActors.dinky
11038	madam Morenu	Madame Morena	DefineActors.dinky
11039	George	George	DefineActors.dinky
11040	Lenore	Lenore	DefineActors.dinky
11041	Petera	Peter	DefineActors.dinky
11042	Chuckieho	Chuckie	DefineActors.dinky
11043	“Chuck Edmund umístěn do sanatoria...”	Chuck Edmund committed to sanitarium...	Nickel.dinky
11044	Chuck byl hospitalizován po psychickém zhroucení. Věřil, že je součástí počítače.	Chuck committed after a psychotic breakdown due to believing he was part of a computer.	Nickel.dinky
11045	“Willieho opravna houslí hlásí rekordní zisky...”	Willie's violin repair posts record profits...	Nickel.dinky
11046	Willieho opravna houslí se rozvíjí díky objednávkám a reklamě přes BBS.	Willie's violin repair business is booming due to new BBS ordering and advertising.	Nickel.dinky
11047	“KSCUM mění hudební styl...”	KSCUM to change music styles...	Nickel.dinky
11048	Staré dobré KSCUM rádio mění formát z eklektického rocku na esoterický rock.	Long standing KSCUM radio set to change formats from eclectic rock to esoteric rock.	Nickel.dinky
11049	“Bistro S&D získává další cenu...”	S&D Diner nets another award...	Nickel.dinky
11050	Bistro dostalo další cenu za své fantastické jídlo. Kritici se shodují, že je to nejlepší pohostinství v okrese.	S&D Diner received another award for their amazing food. Critics all agree, it's the best place to eat in the county.	Nickel.dinky
11051	“Pamětní sklenice zdarma v S&D...”	Free commemorative glass at S&D diner...	Nickel.dinky
11052	Na oslavu své poslední ceny rozdává S&D ke každému jídlu pamětní sklenici.	In celebration of their latest award, the S&D Diner is giving a free commemorative glass with every purchase.	Nickel.dinky
11053	“Art by Eltron se znovu otevře jako prodejna PillowBear™...”	Art by Eltron to re-open as PillowBear™ store...	Nickel.dinky
11054	Obchod označovaný místními obyvateli jako Art by Eltron se na začátku května znovu otevře jako prodejna PillowBear™.	The store referred to by locals as Art by Eltron will re-open as a PillowBear™ factory outlet in early May.	Nickel.dinky
11055	“Nebezpečná toaleta Quickie Pal...”	Quickie Pal bathroom a toxic site...	Nickel.dinky
11056	Federální agentury označily záchod obchodu Quickie Pal za toxické místo 5. třídy. Sanace by měl začít brzy.	Federal agencies have designated the Quickie Pal bathroom a Class 5 toxic site. Clean-up should begin soon.	Nickel.dinky
11057	“Lenore Edmundová byla vystěhována...”	Lenore Edmund evicted...	Nickel.dinky
11058	Poté, co banka znovu získala sídlo Chucka Edmunda, byla Lenora Edmundová vystěhována. Nepomohl jí ani křik “Víte, kdo jsem?”	After the bank repossessed Chuck Edmund's mansion, Lenore Edmund was evicted while screaming “Do you know who I am!”	Nickel.dinky
11059	“Okultní podivínka madam Morena vzkazuje městu...”	Occult oddball Madame Morena tells town...	Nickel.dinky
11060	Nikdy bych nikoho neproklela, to přesahuje i mou černou magii. Přijďte na velký výprodej!	I would never curse anyone, that would go beyond even my black magic. Come for the big blow-out sale!	Nickel.dinky
11061	“Místní rodačka získává prestižní práci v MmucasFlem Games...”	Local nets prestigious job at MmucasFlem Games...	Nickel.dinky
11062	Zdá se, že Delores Edmundová už setřásla nedávnou rodinného krizi a je na cestě na vrchol herního průmyslu!	Delores Edmund seems to have shaken recent family turmoil and is on her way to the top of the game industry!	Nickel.dinky
11063	“Mim tiše aplauduje Ransomovi...”	Mime applauds silently for Ransome...	Nickel.dinky
11064	Místní mim sledoval už čtvrté Ransomovo vystoupení v řadě a pantomimicky naznačoval, že je to nejlepší show, jakou kdy viděl.	While miming that it was the best show he'd ever seen, local Mime stands in line for 4th Ransome show in a row.	Nickel.dinky
11065	“Místní zahradník nastupuje do Bílého domu...”	Local groundskeeper wins White House post...	Nickel.dinky
11066	Místní zahradník Doug Braverman byl přijat do Bílého domu, aby kopal díry v růžové zahradě.	Local groundskeeper Doug Braverman is hired by the White House to dig holes in the rose garden.	Nickel.dinky
11067	“Dnes žádný titulek...”	No headline today...	Nickel.dinky
11068	The Nickel News dochází tisková barva, takže dnešní vydání nevyj	The Nickel News ran out of ink and cannot publish today's pap	Nickel.dinky
11069	“Pracovník tovární ochranky Reyes znovu povýšen...”	Factory security guard Reyes promoted again...	Nickel.dinky
11070	Po pěti povýšeních byl hlídač a hrdý otec Reyes jmenován hlavou ochranky nové továrny PillowBear™.	After five promotions, security guard and proud father Reyes has been made head of security at the new PillowBear™ factory.	Nickel.dinky
11071	“Franklinův duch straší hotel Edmund...”	Ghost of Franklin haunts Edmund Hotel...	Nickel.dinky
11072	Duch bratra Chucka Edmunda Franklin údajně straší v hotelu Edmund. Případu se věnují Holubí bratři.	The ghost of Franklin, Chuck Edmund's brother, is said to haunt the local Edmund Hotel. Pigeon Brothers are on the case.	Nickel.dinky
11073	“Ransome oceněn za filantropii...”	Ransome to receive philanthropy award...	Nickel.dinky
11074	Na základě různých projektů věnujících se dětem získá letos cenu za filantropii Ransome.	Citing his various projects benefiting children around the world, the award will be bestowed on Ransome.	Nickel.dinky
11075	Podíváme se, co tady máš...	Let's see what you've got...	Nickel.dinky
11076	Pojďme se podívat na tvé fotky...	Let's take a look at your photos...	Nickel.dinky
11077	Tak se mrkneme na ty tvé fotky...	Why don't we take a quick look at your photos...	Nickel.dinky
11078	Vtipné a hodně “meta“! Tahle se mi líbí.	Funny! Very meta! I like this one.	Nickel.dinky
11079	Jsem velmi fotogenická. Tahle vyšla dobře.	I'm very photogenic. Nice one of me.	Nickel.dinky
11080	Dobrý kousek!	Good one!	Nickel.dinky
11081	Tahle je pěkná!	This is nice!	Nickel.dinky
11082	Perfektní pro článek!	Perfect for the story!	Nickel.dinky
11083	Skvělé!	Amazing!	Nickel.dinky
11084	Rozmazané...	Blurry...	Nickel.dinky
11085	Málo světla...	Poor lighting...	Nickel.dinky
