id	text	en	loc
10000	Deutsch	English
10001	Standard	Default
11000	Ich denke, dass ich mit dem Auftrag fertig bin.	I think I'm done with the assignment.	DefineActors.dinky
11001	Willst du einen Blick auf meine bisherige Arbeit werfen?	Want to take a look at my work so far?	DefineActors.dinky
11002	Das letzte Gefährliche was der Sheriff je tat, war ein Blick in den Spiegel.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Ein Foto vom Sheriff allein wird Natalie nicht helfen.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Ein Foto vom Pathologen allein wird Natalie nicht helfen.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Ich denke Natalie sucht nach jemand berühmteren, nur prätentiöse Restaurantkritiker denken, er sei eine Berühmtheit.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Tschuldige, zu beschäftigt. Komme nicht mit Sortieren nach.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Zu beschäftigt um Pause zu machen, wegen all dieser PillowBear™ Bestellungen!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	Die Arbeit eines Postbeamten ist niemals erledigt, kann nicht aufhören.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Muss weiter diese PillowBear™ Bestellungen sortieren, kann nicht stoppen.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	Kann dir gerade nicht helfen.	Can't help you now.	DefineActors.dinky
11011	Zu beschäftigt um deinen Brief anzunehmen. Wirf ihn einfach in den Briefkasten.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Zu beschäftigt um deinen Brief anzunehmen. Vergiss die Briefmarken nicht!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Zu beschäftigt und Rückgabe von Briefmarken ist ausgeschlossen.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	Meine Schwester denkt, sie ist eine Berühmtheit. Sonst denkt das keiner.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	Wir nehmen keine Einlagen in Form von Münzen an.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	Ich will deine Almosen nicht.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Ich sagte, sprich mit mir, nicht diesem Niemand.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	Willst du mit ihm sprechen, sprich mit MIR!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	Dafür bekommt man kein gutes Spielzeug. Ich will ein Spielzeug!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	Das will ich nicht!	I don't want that!	DefineActors.dinky
11021	Ich will ein Spielzeug!	I want a toy!	DefineActors.dinky
11022	Sowas wollen Kinder nicht!	Kids don't want that!	DefineActors.dinky
11023	Danke!	Thanks!	DefineActors.dinky
11024	Lass sie nicht deine Zähne ruinieren, wie sie es mit meinen taten.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	Nicht so schnell Tante Delores.	Not so fast Aunt Delores.	DefineActors.dinky
11026	Musst mir schon was schenken, wenn du ein Foto von mir willst.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	Lächeln!	Smile!	DefineActors.dinky
11028	Delores	Delores	DefineActors.dinky
11029	Willie	Willie	DefineActors.dinky
11030	Natalie	Natalie	DefineActors.dinky
11031	Ransome	Ransome	DefineActors.dinky
11032	Leonard	Leonard	DefineActors.dinky
11033	Sheriff	Sheriff	DefineActors.dinky
11034	Pathologe	Coroner	DefineActors.dinky
11035	Dave	Dave	DefineActors.dinky
