id	text	en	loc
10000	English	English	
10001	Default	Default	
11000	I think I'm done with the assignment.	I think I'm done with the assignment.	DefineActors.dinky
11001	Want to take a look at my work so far?	Want to take a look at my work so far?	DefineActors.dinky
11002	The last time the Sheriff did anything dangerous was looking in the mirror.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	A photo of the Sheriff by himself won't work for Natalie.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	A photo of the Coroner by himself won't work for Natalie.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Sorry, too busy now. I'm behind on my sorting.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Too busy to stop, it's all these PillowBear™ orders!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	A postman's work is never done, can't stop.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Have to keep sorting these PillowBear™ orders, can't stop.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	Can't help you now.	Can't help you now.	DefineActors.dinky
11011	I'm too busy to take your letter. Just use the mail drop.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	I'm too busy to take your letter. Don't forget to add stamps!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Too busy now, and no returns on stamps.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	My sister might think she's a celebrity, but no one else does.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	We don't take deposits in the form of coins.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	I don't want or need your pity nickel.	I don't want or need your pity nickel.	DefineActors.dinky
11017	I told you to talk to me, not what's-his-face.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	You want to talk to him, you talk to me!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	A nickel won't buy a good toy. I want a toy!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	I don't want that!	I don't want that!	DefineActors.dinky
11021	I want a toy!	I want a toy!	DefineActors.dinky
11022	Kids don't want that!	Kids don't want that!	DefineActors.dinky
11023	Thanks!	Thanks!	DefineActors.dinky
11024	Don't let them rot your teeth like they did mine.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	Not so fast Aunt Delores.	Not so fast Aunt Delores.	DefineActors.dinky
11026	Gotta give me a present if you want to take my picture.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	Smile!	Smile!	DefineActors.dinky
