id	text	en	loc
10000	Español	Spanish	
10001	Traducción de Hugo Domínguez Santana	Translation by Hugo Domínguez-Santana	
11000	Creo que he terminado con la tarea.	I think I'm done with the assignment.	DefineActors.dinky
11001	¿Quieres ver mi trabajo hasta ahora?	Want to take a look at my work so far?	DefineActors.dinky
11002	La última vez que el Sheriff hizo algo peligroso fue mirarse al espejo.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Una foto del Sheriff solo no le servirá a Natalie.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Una foto del Forense solo no le servirá a Natalie.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Creo que Natalie querrá a alguien mucho más famoso, solo los críticos de comida pretenciosos piensan que es una celebridad.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Lo siento, estoy demasiado ocupado ahora. Estoy atrasado en mi clasificación.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Estoy demasiado ocupado para parar, ¡son todos estos pedidos de PillowBear™!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	El trabajo de un cartero nunca termina, no puedo parar.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Tengo que seguir organizando estos pedidos de PillowBear™, no puedo parar.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	No puedo ayudarte ahora.	Can't help you now.	DefineActors.dinky
11011	Estoy muy ocupado para coger tu carta. Simplemente usa el buzón de correo.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Estoy muy ocupado para coger tu carta. ¡No te olvides de ponerle un sello!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Estoy demasiado ocupado ahora, y no hay devoluciones en sellos.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	Mi hermana pensará que es una celebridad, pero nadie más lo hace.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	No aceptamos fianzas en forma de monedas.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	No quiero ni necesito tus lamentables cinco centavos.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Te dije que hablaras conmigo, no con el cómo-se-llame.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	¡Si quieres hablar con él, habla conmigo!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	Cinco centavos no comprarán un buen juguete. ¡Quiero un juguete!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	¡No quiero eso!	I don't want that!	DefineActors.dinky
11021	¡Quiero un juguete!	I want a toy!	DefineActors.dinky
11022	¡Los niños no quieren eso!	Kids don't want that!	DefineActors.dinky
11023	¡Gracias!	Thanks!	DefineActors.dinky
11024	No dejes que te pudran los dientes como lo hicieron con los míos.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	No tan rápido Tía Delores.	Not so fast Aunt Delores.	DefineActors.dinky
11026	Tendrás que darme un regalo si quieres hacerme una foto.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	¡Sonríe!	Smile!	DefineActors.dinky
11028	Delores	Delores	DefineActors.dinky
11029	Willie	Willie	DefineActors.dinky
11030	Natalie	Natalie	DefineActors.dinky
11031	Ransome	Ransome	DefineActors.dinky
11032	Leonard	Leonard	DefineActors.dinky
11033	Sheriff	Sheriff	DefineActors.dinky
11034	Forense	Coroner	DefineActors.dinky
11035	Dave	Dave	DefineActors.dinky
11036	Dave	Dave	DefineActors.dinky
11037	Sandy	Sandy	DefineActors.dinky
11038	Madame Morena	Madame Morena	DefineActors.dinky
11039	George	George	DefineActors.dinky
11040	Lenore	Lenore	DefineActors.dinky
11041	Peter	Peter	DefineActors.dinky
11042	Chuckie	Chuckie	DefineActors.dinky
11043	Chuck Edmund internado en un manicomio...	Chuck Edmund committed to sanitarium...	Nickel.dinky
11044	Chuck internado después de un brote psicótico debido a la creencia de que era parte de un ordenador.	Chuck committed after a psychotic breakdown due to believing he was part of a computer.	Nickel.dinky
11045	El taller de violines de Willie registra ganancias récord...	Willie's violin repair posts record profits...	Nickel.dinky
11046	El negocio del taller de violines de Willie está en auge debido a los nuevos pedidos y publicidad en la BBS.	Willie's violin repair business is booming due to new BBS ordering and advertising.	Nickel.dinky
11047	KSCUM va a cambiar estilos musicales...	KSCUM to change music styles...	Nickel.dinky
11048	Antigua radio KSCUM decidida a cambiar formatos del rock ecléctico al rock esotérico.	Long standing KSCUM radio set to change formats from eclectic rock to esoteric rock.	Nickel.dinky
11049	Cafetería S&D gana otro premio...	S&D Diner nets another award...	Nickel.dinky
11050	Cafetería S&D recibe otro premio por su asombrosa comida. Todos los críticos coinciden, es el mejor lugar para comer en el condado.	S&D Diner received another award for their amazing food. Critics all agree, it's the best place to eat in the county.	Nickel.dinky
11051	Vaso gratis conmemorativo en la cafetería S&D...	Free commemorative glass at S&D diner...	Nickel.dinky
