id	text	en	loc
10000	Suomi	English	
10001	Vakio	Default	
11000	Toimeksiantoni taitaa olla valmis.	I think I'm done with the assignment.	DefineActors.dinky
11001	Haluatko nähdä tähänastiset otokseni?	Want to take a look at my work so far?	DefineActors.dinky
11002	Viimeisin vaarallinen asia, jonka sheriffi teki, oli peiliin katsominen.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Kuva ainoastaan sheriffistä ei kelpaa Natalielle.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Kuva ainoastaan patologista ei kelpaa Natalielle.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Luulen että Natalie haluaa kuvan jostain paljon kuuluisammasta, ainoastaan tärkeilevät ruokakriitikot pitävät häntä julkkiksena.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Sori, olen liian kiireinen juuri nyt. Lajitteluni on myöhässä.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Liian kiireinen kaikkien näiden PillowBear™-tilausten kanssa!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	Postityöntekijän työ ei ole koskaan valmis, en voi seisahtua.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Täytyy lajitella kaikki nämä PillowBear™-tilaukset, en voi pysähtyä.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	En voi auttaa sinua juuri nyt.	Can't help you now.	DefineActors.dinky
11011	Olen liian kiireinen auttamaan kirjeesi kanssa. Käytä postilaatikkoa.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Olen liian kiireinen auttamaan kirjeesi kanssa. Älä unohda postimerkkejä!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Liian kiireinen nyt, eikä palautuksia postimerkeistä.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	Siskoni voi ajatella olevansa julkkis, mutta kukaan muu ei ajattele niin.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	Emme ota talletuksia kolikoina.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	En halua tai tarvitse säälittävää 5-senttistäsi.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Käskin sinun puhua kanssani, ei tuon jonkun kanssa.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	Jos haluat puhua hänelle, puhu minulle!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	5-senttisellä ei saa hyvää lelua. Haluan lelun!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	En halua sitä!	I don't want that!	DefineActors.dinky
11021	Haluan lelun!	I want a toy!	DefineActors.dinky
11022	Lapset eivät halua sitä!	Kids don't want that!	DefineActors.dinky
11023	Kiitos!	Thanks!	DefineActors.dinky
11024	Älä anna niiden mädäntää hampaitasi, kuten minulle kävi.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	Ei niin nopeasti Delores-täti.	Not so fast Aunt Delores.	DefineActors.dinky
11026	Jos haluat ottaa kuvani, täytyy sinun antaa minulle lahja.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	Muikku!	Smile!	DefineActors.dinky
11028	Delores	Delores	DefineActors.dinky
11029	Willielle	Willie	DefineActors.dinky
11030	Natalielle	Natalie	DefineActors.dinky
11031	Ransomelle	Ransome	DefineActors.dinky
11032	Leonardille	Leonard	DefineActors.dinky
11033	Sheriffi	Sheriff	DefineActors.dinky
11034	patologi	Coroner	DefineActors.dinky
11035	Davelle	Dave	DefineActors.dinky
11036	Davelle	Dave	DefineActors.dinky
11037	Sandylle	Sandy	DefineActors.dinky
11038	Madame Morenalle	Madame Morena	DefineActors.dinky
11039	Georgelle	George	DefineActors.dinky
11040	Lenorelle	Lenore	DefineActors.dinky
11041	Peterille	Peter	DefineActors.dinky
11042	Pikku-Chuckille	Chuckie	DefineActors.dinky
11043	Chuck Edmund toimitettu parantolaan...	Chuck Edmund committed to sanitarium...	Nickel.dinky
11044	Chuck määrätty pakkohoitoon psykoottisen kohtauksen jälkeen. Hän uskoi olevansa osa tietokonetta.	Chuck committed after a psychotic breakdown due to believing he was part of a computer.	Nickel.dinky
11045	Willien viulukorjaamo tekee ennätystulosta...	Willie's violin repair posts record profits...	Nickel.dinky
11046	Willien viulunkorjausliiketoiminta kukoistaa uuden BBS-tilausjärjestelmän ja mainonnan ansiosta.	Willie's violin repair business is booming due to new BBS ordering and advertising.	Nickel.dinky
11047	KSCUM muuttaa musiikkityylinsä...	KSCUM to change music styles...	Nickel.dinky
11048	Pitkäikäinen KSCUM-radio muuttaa formaattinsa eklektisestä rockista esoteeriseksi rockiksi.	Long standing KSCUM radio set to change formats from eclectic rock to esoteric rock.	Nickel.dinky
11049	S&D-ravintola saalistaa jälleen palkinnon...	S&D Diner nets another award...	Nickel.dinky
11050	S&D-ravintola sai jälleen palkinnon hämmästyttävästä ruuastaan. Kriitikot ovat kaikki yhtä mieltä siitä, että se on piirikunnan paras paikka ruokailla.	S&D Diner received another award for their amazing food. Critics all agree, it's the best place to eat in the county.	Nickel.dinky
11051	Ilmainen juhlalasi S&D-ravintolasta...	Free commemorative glass at S&D diner...	Nickel.dinky
11052	Uusimman palkintonsa kunniaksi S&D-ravintola antaa ilmaisen juhlalasin jokaisen ostoksen yhteydessä.	In celebration of their latest award, the S&D Diner is giving a free commemorative glass with every purchase.	Nickel.dinky
11053	Art by Eltron uudelleenavaa ovensa PillowBear™-liikkeenä...	Art by Eltron to re-open as PillowBear™ store...	Nickel.dinky
11054	Kauppa, jota paikalliset kutsuvat nimellä Art by Eltron, avataan uudelleen PillowBear™-tehtaanmyymälänä toukokuun alussa.	The store referred to by locals as Art by Eltron will re-open as a PillowBear™ factory outlet in early May.	Nickel.dinky
11055	Quickie Palin kylpyhuone myrkyllinen paikka...	Quickie Pal bathroom a toxic site...	Nickel.dinky
