id	text	en	loc
10000	Italiano	English	
10001	Traduzione italiana by Guga, Zak e Seguso	Default	
11000	Credo di aver finito con le foto.	I think I'm done with the assignment.	DefineActors.dinky
11001	Vuoi vedere cosa ho fatto finora?	Want to take a look at my work so far?	DefineActors.dinky
11002	L'ultima volta che lo Sceriffo ha fatto qualcosa di pericoloso è stato guardarsi allo specchio.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Una foto dello Sceriffo da solo non sarà sufficiente per Natalie.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Una foto del Coroner da solo non sarà sufficiente per Natalie.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Penso che Natalie voglia qualcuno molto più famoso, solo i critici culinari snob pensano che sia una celebrità.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Spiacente, sono molto impegnato. Sto smistando la posta.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Sono troppo impegnato per fermarmi, con tutti questi ordini di PillowBear™!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	Il lavoro di un postino non è mai finito, non posso fermarmi.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Devo smistare questi ordini di PillowBear™, non posso fermarmi.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	Non posso aiutarti adesso.	Can't help you now.	DefineActors.dinky
11011	Sono troppo impegnato per prendere la tua lettera. Imbucala nella cassetta postale.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Sono troppo impegnato per prendere la tua lettera. Non dimenticare i francobolli!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Troppo impegnato adesso, e niente reso sui francobolli.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	Mia sorella magari pensa di essere una celebrità, ma soltanto lei.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	Non accettiamo depositi in monetine.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	Non voglio il tuo nichelino, e non ne ho bisogno.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Ti ho detto di parlare con me, non con come-si-chiama.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	Se vuoi parlare con lui, parlerai con me!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	Un nichelino non basta per un bel giocattolo. Voglio un giocattolo!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	Non lo voglio!	I don't want that!	DefineActors.dinky
11021	Voglio un giocattolo!	I want a toy!	DefineActors.dinky
11022	Ai bambini non piace!	Kids don't want that!	DefineActors.dinky
11023	Grazie!	Thanks!	DefineActors.dinky
11024	Non lasciare che ti rovinino i denti, come è successo ai miei.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	Non così in fretta, zia Delores.	Not so fast Aunt Delores.	DefineActors.dinky
