id	text	en	loc
10000	Nederlands	Dutch	
10001	Vertaald door Frenzie (Frans de Jonge), Sushi en Wolfinabigbox (Jadira Wolff)	Default	
11000	Ik denk dat ik klaar ben met de opdracht.	I think I'm done with the assignment.	DefineActors.dinky
11001	Wil je mijn werk tot nu toe bekijken?	Want to take a look at my work so far?	DefineActors.dinky
11002	De laatste keer dat de Sheriff iets gevaarlijks deed, was in de spiegel kijken.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Een foto van enkel de sheriff is niet genoeg voor Natalie.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Een foto van enkel de lijkschouwer is niet genoeg voor Natalie.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Ik denk dat Natalie iemand wil die veel beroemder is, enkel aanmatigende voedselrecensenten denken dat hij een beroemdheid is.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Sorry, te druk. Ik ben achter met sorteren.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Te druk om te stoppen, het zijn al die PillowBear™ bestellingen!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	Het werk van een postbode is nooit klaar, 'k kan niet stoppen.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	'k Moet deze PillowBear™ bestellingen blijven sorteren, 'k kan niet stoppen.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	'k Kan je nu niet helpen.	Can't help you now.	DefineActors.dinky
11011	Ik heb het te druk om je brief aan te nemen. Gebruik gewoon de brievenbus.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Ik heb het te druk om je brief aan te nemen. Vergeet niet om er postzegels op te plakken!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Te druk bezig en we nemen zegels niet terug.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	Mijn zus gelooft misschien wel dat ze beroemd is, maar zij is de enige.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	We aanvaarden geen stortingen met muntjes.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	Ik wil of hoef jouw aalmoes niet.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Ik zei je toch om tegen mij te praten, niet tegen huppeldepup daar.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	Als je met hem wil praten, praat je tegen mij!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	Voor een stuiver kan je geen leuk speeltje kopen. Ik wil een speeltje!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	Dat wil ik niet hebben!	I don't want that!	DefineActors.dinky
11021	Ik wil een speeltje.	I want a toy!	DefineActors.dinky
11022	Kinderen willen dat niet!	Kids don't want that!	DefineActors.dinky
11023	Dank je!	Thanks!	DefineActors.dinky
11024	Let op dat je tanden er niet zo van gaan rotten als de mijne.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	Niet zo snel, tante Delores.	Not so fast Aunt Delores.	DefineActors.dinky
11026	Als je een foto van me wil trekken, moet je me eerst een kadootje geven.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	Glimlachen!	Smile!	DefineActors.dinky
11028	Delores	Delores	DefineActors.dinky
11029	Willie	Willie	DefineActors.dinky
11030	Natalie	Natalie	DefineActors.dinky
11031	Ransome	Ransome	DefineActors.dinky
11032	Leonard	Leonard	DefineActors.dinky
11033	Sheriff	Sheriff	DefineActors.dinky
11034	Lijkschouwer	Coroner	DefineActors.dinky
11035	Dave	Dave	DefineActors.dinky
11036	Dave	Dave	DefineActors.dinky
11037	Sandy	Sandy	DefineActors.dinky
11038	Madame Morena	Madame Morena	DefineActors.dinky
11039	George	George	DefineActors.dinky
11040	Lenore	Lenore	DefineActors.dinky
11041	Peter	Peter	DefineActors.dinky
11042	Chuckie	Chuckie	DefineActors.dinky
11043	Chuck Edmund in psychiatrisch instituut opgenomen...	Chuck Edmund committed to sanitarium...	Nickel.dinky
11044	Chuck opgenomen na een psychotische inzinking omdat hij dacht dat hij deel was van een computer.	Chuck committed after a psychotic breakdown due to believing he was part of a computer.	Nickel.dinky
11045	Willie's vioolreparatie behaalt recordwinst...	Willie's violin repair posts record profits...	Nickel.dinky
11046	Willie's vioolreparatie heeft bloeiende handel door nieuwe BBS-bestellingen en reclame.	Willie's violin repair business is booming due to new BBS ordering and advertising.	Nickel.dinky
11047	KSCUM gaat van muziekstijl veranderen...	KSCUM to change music styles...	Nickel.dinky
11048	Lang gevestigde KSCUM-radio gaat van format veranderen, van eclectische rock naar esoterische rock.	Long standing KSCUM radio set to change formats from eclectic rock to esoteric rock.	Nickel.dinky
11049	S&D Eetcafé wint weer een prijs...	S&D Diner nets another award...	Nickel.dinky
11050	S&D Eetcafé ontvangt opnieuw een prijs voor hun heerlijke eten. Recensenten zijn het er allemaal over eens, het is de beste plek in de streek om uit eten te gaan.	S&D Diner received another award for their amazing food. Critics all agree, it's the best place to eat in the county.	Nickel.dinky
11051	Gratis glas als aandenken bij S&D Eetcafé...	Free commemorative glass at S&D diner...	Nickel.dinky
11052	Het S&D Eetcafé geeft bij iedere aankoop een gratis glas weg als aandenken, ter ere van hun nieuwste prijs.	In celebration of their latest award, the S&D Diner is giving a free commemorative glass with every purchase.	Nickel.dinky
