id	text	en	loc
10000	Português(Br)	Portuguese(Br)	
10001	Português Brasileiro (por Rodrigo C. Furtado)	Brazilian Portuguese (translated by Rodrigo C. Furtado)	
11000	Eu acho que finalizei a minha tarefa.	I think I'm done with the assignment.	DefineActors.dinky
11001	Quer dar uma olhada no meu trabalho até agora?	Want to take a look at my work so far?	DefineActors.dinky
11002	A última vez que o Xerife fez algo perigoso foi ao se olhar no espelho.	The last time the Sheriff did anything dangerous was looking in the mirror.	DefineActors.dinky
11003	Uma foto do Xerife sozinho não vai servir para a Natalie.	A photo of the Sheriff by himself won't work for Natalie.	DefineActors.dinky
11004	Uma foto do Legista por si só não vai servir para a Natalie.	A photo of the Coroner by himself won't work for Natalie.	DefineActors.dinky
11005	Acho que a Natalie vai querer alguém muito mais famoso, só os críticos de comida pretensiosos acham que ele é uma celebridade.	I think Natalie will want someone much more famous, only pretentious food critics think he's a celebrity.	DefineActors.dinky
11006	Desculpa, estou muito ocupado agora. Estou atrasado na minha distribuição.	Sorry, too busy now. I'm behind on my sorting.	DefineActors.dinky
11007	Muito ocupado para parar, são todas estas encomendas do PillowBear™!	Too busy to stop, it's all these PillowBear™ orders!	DefineActors.dinky
11008	O trabalho de um carteiro nunca acaba, não pode parar.	A postman's work is never done, can't stop.	DefineActors.dinky
11009	Tenho de continuar distribuindo estas encomendas do PillowBear™, não posso parar.	Have to keep sorting these PillowBear™ orders, can't stop.	DefineActors.dinky
11010	Não posso te ajudar agora.	Can't help you now.	DefineActors.dinky
11011	Estou muito ocupado para levar a sua carta. Apenas coloque-a na caixa postal.	I'm too busy to take your letter. Just use the mail drop.	DefineActors.dinky
11012	Estou muito ocupado para levar a sua carta. Não esqueça de adicionar selos!	I'm too busy to take your letter. Don't forget to add stamps!	DefineActors.dinky
11013	Muito ocupado agora, e não fazemos restituição de selos.	Too busy now, and no returns on stamps.	DefineActors.dinky
11014	A minha irmã pode pensar que é uma celebridade, mas mais ninguém pensa assim.	My sister might think she's a celebrity, but no one else does.	DefineActors.dinky
11015	Nós não aceitamos depósitos sob a forma de moedas.	We don't take deposits in the form of coins.	DefineActors.dinky
11016	Eu não quero e nem preciso da sua moedinha de dó.	I don't want or need your pity nickel.	DefineActors.dinky
11017	Eu disse-lhe para falar comigo, não com esse unzinho aí.	I told you to talk to me, not what's-his-face.	DefineActors.dinky
11018	Se quiser falar com ele, fale comigo!	You want to talk to him, you talk to me!	DefineActors.dinky
11019	5 centavos não compra um bom brinquedo. Eu quero um brinquedo!	A nickel won't buy a good toy. I want a toy!	DefineActors.dinky
11020	Eu não quero isso!	I don't want that!	DefineActors.dinky
11021	Eu quero um brinquedo!	I want a toy!	DefineActors.dinky
